id,question,ground_truth
1,"quantos cortes são necessários para dividir uma torta de maçã até chegar a um átomo?","Cerca de noventa cortes."
2,"o que mudou na percepção de Júpiter após o encontro da Voyager 1, segundo o autor?","Júpiter passou a ser visto como um lugar a ser explorado, não apenas um ponto de luz."
3,"qual é o principal risco de fingir irracionalidade para um blefe nuclear eficaz?","Acostumar-se com a irracionalidade e deixar de ser fingimento."
4,"segundo Farrington, qual fator econômico levou ao declínio da ciência jônica?","A economia escravista."
5,"qual foi o problema enfrentado pela Voyager 1 que poderia ter comprometido a coleta de dados científicos?","Problema no posicionamento da lança da plataforma de varredura científica."
6,"o que Kepler acreditava sobre a geometria em relação à criação do universo?","Kepler acreditava que a geometria existiu antes da Criação e era coeterna com a Mente de Deus."
7,"qual foi o impacto da rejeição da existência do "éter luminífero" na compreensão da propagação da luz?","Mostrou que a luz viaja no vácuo, fundamentando a teoria da relatividade de Einstein."
8,"Qual é a analogia usada no texto para descrever a percepção de objetos ao viajar próximo à velocidade da luz?","Os objetos aparecem comprimidos numa pequena janela circular à sua frente."
9,"Qual é a opinião de Carl Sagan sobre a possibilidade de formas de vida baseadas em elementos diferentes do carbono e água?","Sagan acha a possibilidade interessante, mas prefere carbono e água pela abundância e adequação para a vida."
10,"qual é a visão perturbadora e instigante sobre a hierarquia de universos mencionada no texto?","A visão é de uma hierarquia infinita de universos, onde cada partícula pode ser um universo, e nosso universo pode ser uma partícula em um universo maior."

